,0,1
456,expdesgn,BETTER WAY TO TEST DRUG BTW CONTROL AND NON-CONTROL
457,exptext,WHY IS IT BETTER TO TEST DRUG THIS WAY
458,hotcore,SCI KNOWLEDGE: THE CENTER OF EARTH IS VERY HOT
459,radioact,SCI KNOWLEDGE: ALLRADIOACTIVITY IS MAN-MADE
460,boyorgrl,SCI KNOWLEDGE: FATHER GENE DECIDES SEX OF BABY
461,lasers,SCI KNOWLEDGE: LASERS WORK BY FOCUSING SOUND WAVES
462,electron,SCI KNOWLEDGE: ELECTRONS ARE SMALLER THAN ATOMS
463,viruses,SCI KNOWLEDGE: ANTIBIOTICS KILL VIRUSES AS WELL AS BACTERIA
464,bigbang,SCI KNOWLEDGE: THE UNIVERSE BEGAN WITH A HUGE EXPLOSION
465,condrift,SCI KNOWLEDGE: THE CONTINENTS HAVE BEEN MOVING
466,evolved,SCI KNOWLEDGE: HUMAN BEINGS DEVELOPED FROM ANIMALS
467,earthsun,SCI KNOWLEDGE: THE EARTH GOES AROUND THE SUN
468,solarrev,SCI KNOWLEDGE: HOW LONG THE EARTH GOES AROUND THE SUN
469,majorcol,THE FIELD OF DEGREE R EARNED
470,colsci,R HAS TAKEN ANY COLLEGE-LEVEL SCI COURSE
471,colscinm,NUMBER OF COLLEGE-LEVEL SCI COURSES R HAVE TAKEN
472,hsmath,THE HIGHEST LEVEL OF MATH R COMPLETED IN HIGH SCHOOL
473,hsbio,R EVER TOOK A HIGH SCHOOL BIOLOGY COURSE
474,hschem,R EVER TOOK A HIGH SCHOOL CHEMISTRY COURSE
475,hsphys,R EVER TOOK A HIGH SCHOOL PHYSICS COURSE
476,nanowill,BENEFIT OF NANOTECHNOLOGY OUTWEIGH HARMFUL RESULTS
477,nanoben,BALANCE WILL BE STRONGLY IN FAVOR OF THE BENEFITS OR SLIGHTLY
478,nanoharm,BALANCE WILL BE STRONGLY IN FAVOR OF THE BENEFITS OR SLIGHTLY
479,intintl,INTERESTED IN INTERNATIONAL ISSUES
480,intfarm,INTERESTED IN FARM ISSUES
481,inteduc,INTERESTED IN LOCAL SCHOOL ISSUES
482,intsci,INTERESTED IN NEW SCIENTIFIC DISCOVERIES
483,intecon,INTERESTED IN ECONOMIC ISSUES
484,inttech,INTERESTED IN TECHNOLOGIES
485,intmed,INTERESTED IN MEDICAL DISCOVERIES
486,intspace,INTERESTED IN SPACE EXPLORATION
487,intenvir,INTERESTED IN ENVIRONMENTAL ISSUES
488,intmil,INTERESTED IN MILITARY POLICY
489,visnhist,HOW OFTEN R VISITED NATURAL HISTORY MUSEUM LAST YEAR
490,viszoo,HOW OFTEN R VISITED ZOOLAST YEAR
491,vissci,HOW OFTEN R VISITED SCIENCE MUSEUM
492,scientgo,SCIENTISTS WORK FOR GOOD OF HUMANITY
493,scienthe,SCIENTISTS HELP SOLVE PROB
494,scientod,SCIENTISTS ODD AND PECULIAR
495,scientbe,SCIENTISTS WANT TO MAKE LIFE BETTER FOR AVG PERSON
496,buyvalue,PERCENT OF COMPANY STOCK R BOUGHT FROM OWN MONEY
497,compwage,ANNUAL WAGES IN PREVIOUS YEAR WERE HIGHER THAN SAME JOBS IN OTHER COMPANIES
498,numorg,NUMBER OF PEOPLE WORKING IN ORGANIZATION AT ALL LOCATIONS
499,empinput,R INVOLVED IN ANY TASK FORCE FOR DECISION-MAKING
500,slfmangd,R INVOLVED IN A SELF-MANAGED TEAM
501,emptrain,RECEIVED FORMAL TRAINING FROM EMPLOYER
502,wealth,TOTAL WEALTH OF RESPONDENT
503,esop,R IS MEMBER OF ESOP
504,defpensn,R HAS DEFINED BENEFIT PENSION PLAN
505,buyesop,DOES EMPLOYEE OWNERSHIP MATTER WHEN R THINKS ABOUT BUYING FROM A COMPANY
506,esopnot,WOULD R RATHER WORK FOR A COMPANY WITH AN ESOP OR CASH SHARING
507,company,WHICH COMPANY WOULD R PREFER TO WORK FOR
508,mhunsure,PEOPLE LIKE X ARE UNPREDICTABLE
509,mhdiagno,R KNOWS SOMEONE WHO HAS BEEN DIAGNOSED WITH A MENTAL HEALTH PROBLEM
510,ratetone,R'S FACIAL COLORING BY INTERVIEWER
511,prvdhlth,WHO PROVIDES FOR SICK PEOPLE
512,prvdold,WHO PROVIDES FOR OLD PEOPLE
513,posslq,DOES R HAVE MARITAL PARTNER
514,posslqy,RELATIONSHIP STATUS AND COHABITATION OR NOT
515,marcohab,COHABITATION STATUS
516,kidpars,DO ADULT CHILDREN HAVE DUTY TO LOOK AFTER PARENT
517,firstyou,SHOULD TAKE CARE OF ONESELF AND ONES FAMILY FIRST
518,helpfrds,SHOULD BETTER OFF PPL HELP LESS WELL-OFF FRIEND
519,demands,R FEELS THAT FAMILY MAKE TOO MANY DEMANDS ON R
520,knwbus,DOES R KNOW SOMEONE WHO IS A BUS DRIVER?
521,knwexec,DOES R KNOW SOMEONE WHO IS A EXECUTIVE AT A LARGE COMPANY?
522,knwclenr,DOES R KNOW SOMEONE WHO IS A HOME OR OFFICE CLEANER?
523,knwcuttr,DOES R KNOW SOMEONE WHO IS A HAIRDRESSER OR BARBER?
524,knwhrman,DOES R KNOW SOMEONE WHO IS A HUMAN RESOURCES OR PERSONNEL MANAGER?
525,knwlawyr,DOES R KNOW SOMEONE WHO IS A LAWYER?
526,knwmchnc,DOES R KNOW SOMEONE WHO IS A CAR MECHANIC?
527,knwnurse,DOES R KNOW SOMEONE WHO IS A NURSE?
528,knwcop,DOES R KNOW SOMEONE WHO IS A POLICE OFFICER?
529,knwtcher,DOES R KNOW SOMEONE WHO IS A SCHOOL TEACHER?
530,smallgap,SMALL
531,govlazy,THE SOCIAL BENEFITS FROM THE GOVERNMENT MAKE PEOPLE LAZY
532,partlsc,"IN PAST 12 MONTHS, R HAS PARTICIPATED IN ORGS FOR SPORT, CULTURE, LEISURE"
533,partpart,ASSOCIATIONS
534,partvol,"IN PAST 12 MONTHS, R HAS PARTICIPATED IN CHARITABLE OR RELIGIOUS VOLUNTEER ORGS"
535,hlphome,WHO R WOULD FIRST TURN TO IF THEY NEEDED HELP WITH A HOUSEHOLD OR A GARDEN JOB
536,hlpsick,WHO R WOULD FIRST TURN TO IF THEY NEEDED HELP AROUND THE HOUSE IF SICK
537,hlpdown,OR DEPRESSED
538,hlpadvce,WHO R WOULD FIRST TURN TO IF THEY NEEDED ADVICE ABOUT FAMILY PROBLEMS
539,hlpsococ,WHO R WOULD FIRST TURN TO IF THEY WANTED TO ENJOY A PLEASANT SOCIAL OCCASION
540,hlploan,WHO R WOULD FIRST TURN TO IF THEY NEEDED TO BORROW LARGE SUMS OF MONEY
541,hlpjob,WHO R WOULD FIRST TURN TO IF THEY NEEDED HELP FINDING A JOB
542,hlppaper,WHO R WOULD FIRST TURN TO IF THEY NEEDED HELP WITH ADMIN OR OFFICIAL PAPERWORK
543,hlpresde,WHO R WOULD FIRST TURN TO IF THEY NEEDED HELP FINDING A PLACE TOLIVE
544,hlpsickr,SERIOUSLY ILL
545,trcourts,HOW MUCH TRUST R HAS IN AMERICAN COURTS
546,trbigbus,HOW MUCH TRUST R HAS IN MAJOR PRIVATE COMPANIES IN AMERICA
547,fampress,THEIR LIFE?
548,upset,HOW OFTEN R'S FRIENDS OR FAMILY WERE ANGRY WITH R
549,dinefrds,HOW OFTEN R WENT OUT TO EAT OR DRINK WITH AT LEAST 3 NON-FAMILY MEMBERS
550,newfrds,"AT THESE OCCASIONS, HOW OFTEN DID R MAKE NEW FRIENDS OR ACQUAINTENCES"
551,conwkday,NUMBER OF PEOPLE R CONTACTS WITH ON A TYPICAL WEEKDAY
552,cntctpar,HOW OFTEN R CONTACTS THEIR MOST-CONTACTED PARENT
553,cntctsib,HOW OFTEN R CONTACTS THEIR MOST-CONTACTED SIBLING
554,cntctkid,HOW OFTEN R CONTACTS THEIR MOST-CONTACTED ADULT CHILD
555,cntctfam,HOW OFTEN R CONTACTS THEIR MOST-CONTACTED EXTENDED FAMILY MEMBER
556,cntctfrd,HOW OFTEN R CONTACTS THEIR MOST-CONTACTED CLOSE FRIEND
557,intcntct,"HOW MUCH OF R'S COMMUNICATION IS VIA TEXT, MOBILE PHONE, OR INTERNET"
558,healthissp,R'S HEALTH IN GENERAL
559,unhappy,HOW OFTEN R WAS UNHAPPY OR DEPRESSED IN PAST 4 WEEKS
560,pilingup,HOW OFTEN R FELT DIFFICULTY PILING UP IN PAST 4 WEEKS
561,mygoals,IT IS EASY FOR R TO ACCOMPLISH THEIR GOALS
562,satlife,R IS SATISFIED WITH THEIR LIFE
563,endsmeet,HOW DIFFICULT OR EASY IS IT FOR R'S HOUSEHOLD TO MAKE ENDS MEET
564,numlangs,HOW MANY LANGUAGES DOES R SPEAK WELL ENOUGH TO HOLD A CONVERSATION IN?
565,goodlife,STANDARD OF LIVING OF R WILL IMPROVE
566,incgap,INCOME DIFFERENTIALS IN USA TOO BIG
567,goveqinc,GOVMNT SHOULD REDUCE INC DIFFERENTIALS
568,hubbywrk,HUSB SHLD WORK WIFE SHLD LOOK AFTER HOME
569,marhomo,HOMOSEXUALS SHOULD HAVE RIGHT TO MARRY
570,meovrwrk,MEN HURT FAMILY WHEN FOCUS ON WORK TOO MUCH
571,stress,HOW OFTEN DOES R FIND WORK STRESSFUL
572,supervis,DOES R SUPERVISE OTHERS AT WORK IN MAIN JOB
573,localnum,NUMBER OF EMPLOYEES: R'S WORK SITE
574,hapunhap,HAPPY OR UNHAPPY WITH LIFE TODAY
575,abpoorw,WRONG FOR WOMAN TO GET ABORTION IF LOW INCOME?
576,concong,CONFIDENCE IN US CONGRESS
577,conbiz,CONFIDENCE IN BUSINESS AND INDUSTRY
578,conchurh,CONFIDENCE IN CHURCHES AND RELIGIOUS ORGS
579,concourt,CONFIDENCE IN COURTS AND LEGAL SYSTEM
580,conschls,CONFIDENCE IN SCHOOLS AND EDUC SYSTEM
581,clergvte,CLERGY SHOULDN'T TRY TO INFLUENCE VOTERS
582,churhpow,DO CHURCHES HAVE TOO MUCH POWER?
583,godchnge,DESCRIBE YOUR BELIEFS ABOUT GOD
584,afterlif,BELIEF IN LIFE AFTER DEATH
585,heaven,BELIEF IN HEAVEN
586,hell,BELIEF IN HELL
587,miracles,BELIEF IN RELIGIOUS MIRACLES
588,theism,GOD CONCERNED WITH HUMAN BEINGS PERSONALLY
589,fatalism,PEOPLE CAN'T CHANGE THE COURSE OF THEIR LIVES
590,godmeans,LIFE MEANINGFUL BECAUSE GOD EXISTS
591,nihilism,LIFE SERVES NO PURPOSE
592,egomeans,LIFE MEANINGFUL ONLY IF YOU PROVIDE MEANING
593,marelkid,MOTHERS RELIGION WHEN R WAS CHILD
594,madenkid,"IF PROTESTANT, MOTHERS DENOMINATION"
595,parelkid,FATHER'S RELIGION WHEN R WAS CHILD
596,padenkid,"IF PROTESTANT, FATHER'S DENOMINATION"
597,religkid,RELIGION R WAS RAISED IN
598,denkid,"IF PROTESTANT, DENOMINATION R RAISED IN"
599,attendma,FREQ OF R'S MOM'S RELIG SVC ATTENDANCE
600,attendpa,FREQ OF R'S DAD'S RELIG SVC ATTENDANCE
601,prayfreq,HOW OFTEN DOES R PRAY
602,relactiv,HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
603,relscrpt,R HAS READ RELIGIOUS TEXT OUTSIDE OF A SERVICE IN THE PAST YEAR
604,feelrel,HOW RELIGIOUS IS R
605,befair,HOW OFTEN DO YOU THINK PEOPLE TAKE ADVANTAGE
606,cantrust,PEOPLE CAN BE TRUSTED OR CANT BE TOO CAREFUL
607,trustsci,WE TRUST TOO MUCH IN SCIENCE
608,religcon,RELIGIONS BRING MORE CONFLICT
609,religint,RELIGIOUS PEOPLE ARE OFTEN TOO INTOLERANT
610,relmarry,R ACCEPTS A PERSON FROM A DIFFERENT RELIGION OR VIEW FROM R'S MARRYING RELATIVE
611,ancestrs,BELIEVE IN SUPERNATURAL POWER OF DECEASED ANCESTORS
612,mywaygod,R HAS OWN WAY OF CONNECTING WITH GOD WITHOUT CHURCHES OR RELIGIOUS SERVICES
613,relgeneq,R'S RELIGION TREATS MEN AND WOMEN EQUALLY
614,relobjct,DISPLAY
615,vistholy,HOW OFTEN R VISITS HOLY PLACE FOR RELIGIOUS REASONS
616,relsprt,IS R SPIRITUAL PERSON
617,makefrnd,RELIGION HELPS PEOPLE TO MAKE FRIENDS
618,comfort,RELIGION HELPS PEOPLE TO GAIN COMFORT IN TIMES OF TROUBLE AND SORROW
619,relgenbar,RELIGIONS ARE USUALLY A BARRIER TO EQUALITY BETWEEN WOMEN AND MEN
620,govvsrel,ITS FAITH
621,difrel,WHEN LIVING CLOSE TOGETHER.
622,relpast,"IN AMERICA, RELIGION REPRESENTS THE PAST AND NOT THE FUTURE."
623,relrlvnt,"IN AMERICA, RELIGION IS JUST AS RELEVANT TO LIFE TODAY AS IT WAS IN THE PAST."
624,christns,GROUP - CHRISTIANS
625,muslims,GROUP - MUSLIMS
626,hindus,GROUP - HINDUS
627,buddhsts,GROUP - BUDDHISTS
628,jews,GROUP - JEWS
629,atheists,GROUP - ATHIESTS
630,nukegen,NUKE POWER DANGER TO ENVIR
631,indusgen,INDUST AIR POLLUTION DANGER TO ENVIR
632,chemgen,PESTICIDES DANGER TO ENVIR
633,watergen,WATER POLLUTION DANGER TO ENVIR
634,tempgen,GREENHOUSE EFFECT DANGER TO ENVIR
635,genegen,HOW DANGEROUS MODIFYING GENES IN CROPS
636,partners,HOW MANY SEX PARTNER'S R HAD IN LAST YEAR
637,matesex,WAS 1 OF R'S PARTNER'S SPOUSE OR REGULAR
638,frndsex,R HAD SEX WITH FRIEND LAST YEAR
639,acqntsex,R HAD SEX WITH ACQUAINTANCE LAST YEAR
640,pikupsex,R HAD SEX WITH CASUAL DATE LAST YEAR
641,paidsex,R HAD SEX FOR PAY LAST YEAR
642,othersex,R HAD SEX WITH SOME OTHER LAST YEAR
643,sexsex,SEX OF SEX PARTNER'S IN LAST YEAR
644,sexfreq,FREQUENCY OF SEX DURING LAST YEAR
645,numwomen,NUMBER OF FEMALE SEX PARTNER'S SINCE 18
646,nummen,NUMBER OF MALE SEX PARTNER'S SINCE 18
647,evpaidsx,EVER HAVE SEX PAID FOR OR BEING PAID SINCE 18
648,evstray,HAVE SEX OTHER THAN SPOUSE WHILE MARRIED
649,condom,USED CONDOM LAST TIME
650,relatsex,RELATION TO LAST SEX PARTNER
651,evidu,R EVER INJECT DRUGS
652,evcrack,R EVER USE CRACK COCAINE
653,hivtest,HAVE YOU EVER BEEN TESTED FOR HIV
654,sexornt,SEXUAL ORIENTATION
655,sexbirth,R'S SEX ASSIGNED AT BIRTH
656,sexnow,R'S SEX NOW
657,maleornt,INTERVIEWER CODED MALE SEXUAL ORIENTATION
658,realinc,FAMILY INCOME IN CONSTANT $
659,realrinc,R'S INCOME IN CONSTANT $
660,coninc,FAMILY INCOME IN CONSTANT DOLLARS
661,conrinc,RESPONDENT INCOME IN CONSTANT DOLLARS
662,ethnic,COUNTRY OF FAMILY ORIGIN
663,ethnum,TYPE OF RESPONSE ABOUT ETHNICITY:R
664,hispanic,HISPANIC SPECIFIED
665,uscitzn,IS R US CITIZEN
666,fucitzn,IS R PLANNING/APPLING FOR US CITIZENSHIP OR NOT
667,yearsusa,HOW MANY YEARS R HAS LIVED IN THE US
668,mnthsusa,HOW MANY MONTHS R HAS LIVED IN THE US
669,vetyears,YEARS IN ARMED FORCES
670,dwelling,TYPE OF STRUCTURE
671,dwelown,DOES R OWN OR RENT HOME?
672,worda,WORD A
673,wordb,WORD B
674,wordc,WORD C
675,wordd,WORD D
676,worde,WORD E
677,wordf,WORD F
678,wordg,WORD G
679,wordh,WORD H
680,wordi,WORD I
681,wordj,WORD J
682,wordsum,NUMBER WORDS CORRECT IN VOCABULARY TEST
683,hefinfo,NUMBER OF HEF INFORMANT
684,hhrace,RACE OF HOUSEHOLD
685,respnum,NUMBER IN FAMILY OF R
686,hhtype,HOUSEHOLD TYPE
687,famgen,NUMBER OF FAMILY GENERATIONS IN HOUSEHOLD
688,rplace,R'S RELATIONSHIP TO HOUSEHOLD HEAD
689,rvisitor,IS R A VISITOR?
690,visitors,NUMBER OF VISITORS IN HOUSEHOLD
691,dateintv,DATE OF INTERVIEW
692,uswary,EXPECT U.S. IN WORLD WAR IN 10 YEARS
693,cohort,YEAR OF BIRTH
694,zodiac,RESPONDENTS ASTROLOGICAL SIGN
695,inthisp,"IS INTERVIEWER SPANISH, HISPANIC OR LATINO"
696,intid,INTERVIEWER ID
697,feeused,FEE GIVEN TO GET CASE
698,feelevel,AMOUNT OF FEES PAID
699,lngthinv,HOW LONG WAS INTERVIEW
700,intage,AGE OF INTERVIEWER
701,intethn,RACE OF INTERVIEWER
702,mode,INTERVIEW DONE IN-PERSON OR OVER THE PHONE
703,intsex,SEX OF INTERVIEWER
704,intyrs,YEARS OF SERVICE AS AN INTERVIEWER AT NORC
705,consent,PARTICIPATION/RECORDING CONSENT
706,ballot,BALLOT USED FOR INTERVIEW
707,version,VERSION OF QUESTIONNAIRE
708,issp,FILTER FOR ISSP CASES
709,sampcode,SAMPLING ERROR CODE
710,phase,SUBSAMPLING: TWO-PHASE DESIGN.
711,spanself,"IF THIS INTERVIEW HAD ONLY BEEN AVAILABLE IN ENGLISH, WOULD YOU..."
712,spanint,"IF NO SPANISH, R COULD HAVE BEEN INTERVIEWED IN ENGLISH"
713,spaneng,INTERVIEWS CONDUCTED IN SPANISH OR ENGLISH
714,hlthstrt,POOR?
715,huadd,HOUSING UNIT (HU) AT ADDRESS?
716,dwellpre,TYPE OF STRUCTURE IN WHICH THE RESPONDENT LIVES
717,kidsinhh,AT THIS HOUSEHOLD
718,respond,ESTIMATE OF THE PROBABILITY THAT THIS HOUSEHOLD WILL RESPOND TO THE SURVEY
719,incuspop,ESTIMATED INCOME STATUS OF HOUSING UNIT
720,neisafe,HOW SAFE INTERVIEWER THINKS NEIGHBORHOOD IS
721,rlooks,R PHYSICAL ATTRACTIVENESS RATING
722,rgroomed,R GROOMING RATING
723,rweight,R WEIGHT RATING
724,rhlthend,R HEALTH RATING
725,wtss,WEIGHT VARIABLE
726,wtssnr,WEIGHT VARIABLE
727,wtssall,WEIGHT VARIABLE
728,vstrat,VARIANCE STRATUM
