Mnemonic      Mnemonic description
RAP      LIKE OR DISLIKE RAP MUSIC
REGGAE   LIKE OR DISLIKE REGGAE MUSIC
CONROCK  LIKE OR DISLIKE CONTEMPORARY ROCK MUSIC
OLDIES   LIKE OR DISLIKE OLDIES ROCK MUSIC
HVYMETAL LIKE OR DISLIKE HEAVY METAL MUSIC
ATTSPRTS ATTENDED SPORTS EVENT IN LST YR
VISITART VISITED ART MUSEUM OR GALLERY IN LST YR
MAKEART  MADE ART OR CRAFT OBJECT IN LST YR
AUTORACE ATTENDED AUTO RACE IN LST YR
CAMPING  WENT CAMPING IN LST YR
GARDEN   GREW VEGETABLES OR FLOWER'S IN GARDEN IN LST YR
DANCE    ATTENDED DANCE PERF IN LST YR
GOMUSIC  ATTENDED CLASSICAL OR OPERA IN LST YR
HUNTFISH WENT HUNTING OR FISHING IN LST YR
PERFORM  PERFORMED MUSIC, DANCE, THEATER IN LST YR
DOSPORTS PLAYED SPORTS IN LST YR
SEEMOVIE WENT TO A MOVIE IN LST YR
USEVCR   USED VCR IN LST YR
PLYMUSIC PLAYED A MUSICAL INSTRUMENT IN LST YR
TVSHOWS  HOW OFTEN R WATCHES TV DRAMA OR SITCOMS
TVNEWS   HOW OFTEN R WATCHES TV NEWS
TVPBS    HOW OFTEN R WATCHES PUBLIC TV SHOWS
                                         Page 30           Index
JUDGEART ONLY A FEW PEOPLE CAN JUDGE ART
TRSTPROF TRUST PROFS JUDGMENTS IN ASSIGNING READING
CLASSICS HS AND COLL STUDTS READ TOO MANY CLASSICS
GRTBOOKS APPEAL OF GREATEST BOOKS IS UNIVER'SAL
MODPAINT MODERN PAINTING IS JUST SLAPPED ON
English  BETTER IF ENGLISH IS ONLY LANGUAGE USED IN SCHOOL
PCLIT    SHAME TRADL AMER LIT IGNORED FOR MINORITY LIT
EXCELART ARTISTIC EXCELLENCE FOUND IN FOLK ART
HOSTHOME UNCOMF ENTERTAINING STRANGER'S AT HOME
FRDCREAT DESIR QUALITIES OF FRIEND: CREATIVE
FRDCULTR DESIR QUALITIES OF FRIEND: CULTURED
FRDDYNAM DESIR QUALITIES OF FRIEND: DYNAMIC
FRDFUN   DESIR QUALITIES OF FRIEND: FUN-LOVING
FRDHONST DESIR QUALITIES OF FRIEND: HONEST
FRDINTEL DESIR QUALITIES OF FRIEND: INTELLIGENT
FRDRESP  DESIR QUALITIES OF FRIEND: RESPONSIBLE
IMPFINAN IMP TO R OF FINANCIAL SECURITY
IMPMAR   IMP TO R OF BEING MARRIED
IMPKIDS  IMP TO R OF HAVING CHILDREN
IMPGOD   IMP TO R OF HAVING FAITH IN GOD
IMPTHNGS IMP TO R OF HAVING NICE THINGS
IMPCULTR IMP TO R OF BEING CULTURED
IMPJOB   IMP TO R OF HAVING A FULFILLING JOB
IMPSELF  IMP TO R OF BEING SELF-SUFFICIENT
MOSTIMP1 MOST IMP EVENT IN LST 60 YRS
MOSTIMP2 2ND MOST IMP EVENT IN LST 60 YRS
MOSTIMP3 3RD IMP EVENT IN LST 60 YRS
MOSTIMP4 4TH IMP EVENT IN LST 60 YRS
COLMAJR1 R MAJOR IN COLLEGE
COLMAJR2 R 2ND MAJOR IN COLLEGE
HSCLASS1 R FAVORITE SUBJECT IN HS
HSCLASS2 R 2ND FAVORITE SUBJECT IN HS
MALIVE1  R MOTHER ALIVE
MAYRBORN YR R MOTHER BORN
MAYRDIED YR R MOTHER DIED
PALIVE1  R FATHER ALIVE
PAYRBORN YR R FATHER BORN
PAYRDIED YR R FATHER DIED
DATESCH  DATE SCHOOLING COMPLETED
NEVERWK  R NEVER WORKED FULL-TIME AFTER SCHOOL
OCCFIRST R FIRST OCCUPATION
PRESFRST PRESTIGE OF R FIRST JOB
WRKSLFST R 1ST JOB: SELF-EMPLOYED OR NO?
INDFIRST INDUSTRY OF R FIRST JOB
DATEFRST MONTH AND YR BEGAN FIRST JOB
ALIKE1   HOW ALIKE: ORANGE & BANANA
ALIKE2   HOW ALIKE: DOG & LION
ALIKE3   HOW ALIKE: EYE & EAR
ALIKE4   HOW ALIKE: EGG & SEED
ALIKE5   HOW ALIKE: TABLE & CHAIR
ALIKE6   HOW ALIKE: WORK & PLAY
ALIKE7   HOW ALIKE: FLY & TREE
                                             Page 31                                       Index
ALIKE8         HOW ALIKE: PRAISE & PUNISHMENT
MARNUM         R MARRIED MORE THAN ONCE?
FSTSPYR        YEAR FIRST SPOUSE BORN
FSTSPEDC       EDUC OF FIRST SPOUSE
FSTSPDEG       HIGHEST DEGREE OF FIRST SPOUSE
FSTSPPED       1ST SPOUSE'S FATHER'S HIGHEST YR OF SCHOOL
FSTSPMED       1ST SPOUSE'S MOTHERS HIGHEST YR OF SCHOOL
AGEWEDCR       R'S AGE AT CURRENT MARRIAGE
SPYRBORN       BIRTH YR OF CURRENT SPOUSE
SPMARNUM       HAS CURRENT SPOUSE BEEN MARRIED BEFORE?
SPFAM16        DID SPOUSE LIVE AT HOME AT AGE 16?
SPPAEDUC       HIGHEST SCHL GRADE SPOUSE'S FATHER COMPLETED
SPMAEDUC       HIGHEST SCHL GRADE SPOUSE'S MOTHER COMPLETED
SPHEDOCC       SPOUSE'S FATHER'S OCC WHEN SPOUSE WAS 16
SPHEDPRE       SPOUSE'S FATHER'S OCC PRES WHEN SPOUSE WAS 16 (1980)
SPHEDSLF       SPOUSE'S FATHER SELF-EMP WHEN SPOUSE WAS 16?
SPHEDIND       SPOUSE'S FATHER'S IND WHEN SPOUSE WAS 16
SPHEDOCC10     SPOUSE'S FATHER'S OCC WHEN SPOUSE WAS 16 (2010)
SPHEDOCCINDV SPOUSE'S FATHER'S OCC/IND VERBATIM RETRIEVED
SPHEDOCCSTATUSSPHEDOCC10 CODING STATUS
SPHEDOCCTAG    SPHEDOCC10 CODING TAG
SPHEDIND10     SPOUSE'S FATHER'S IND WHEN SPOUSE WAS 16 (2010)
SPHEDINDSTATUS SPHEDIND10 CODING STATUS
SPHEDINDTAG    SPHEDIND10 CODING TAG
SPHEDPRE10     SPOUSE'S FATHER'S OCC PRES WHEN SPOUSE WAS 16 (2010)
SPHEDPRE105PLU SPOUSE'S FATHER'S OCC PRES WHEN SPOUSE WAS 16 USING THRESHOLD METHOD (2010)
SPSIBS         NO OF SIBLINGS SPOUSE HAS
KDSEX1         SEX OF R 1ST CHILD
KDSEX2         SEX OF R 2ND CHILD
KDSEX3         SEX OF R 3RD CHILD
KDSEX4         SEX OF R 4TH CHILD
KDSEX5         SEX OF R 5TH CHILD
KDSEX6         SEX OF R 6TH CHILD
KDSEX7         SEX OF R 7TH CHILD
KDSEX8         SEX OF R 8TH CHILD
KDSEX9         SEX OF R 9TH CHILD
KDYRBRN1       BIRTH YEAR OF R 1ST CHILD
KDYRBRN2       BIRTH YEAR OF R 2ND CHILD
KDYRBRN3       BIRTH YEAR OF R 3RD CHILD
KDYRBRN4       BIRTH YEAR OF R 4TH CHILD
KDYRBRN5       BIRTH YEAR OF R 5TH CHILD
KDYRBRN6       BIRTH YEAR OF R 6TH CHILD
KDYRBRN7       BIRTH YEAR OF R 7TH CHILD
KDYRBRN8       BIRTH YEAR OF R 8TH CHILD
KDYRBRN9       BIRTH YEAR OF R 9TH CHILD
KDREL1         R RELATION TO R 1ST CHILD
KDREL2         R RELATION TO R 2ND CHILD
KDREL3         R RELATION TO R 3RD CHILD
KDREL4         R RELATION TO R 4TH CHILD
KDREL5         R RELATION TO R 5TH CHILD
KDREL6         R RELATION TO R 6TH CHILD
KDREL7         R RELATION TO R 7TH CHILD
                                             Page 32                            Index
KDREL8        R RELATION TO R 8TH CHILD
KDREL9        R RELATION TO R 9TH CHILD
KDALIVE1      R 1ST CHILD ALIVE?
KDALIVE2      R 2ND CHILD ALIVE?
KDALIVE3      R 3RD CHILD ALIVE?
KDALIVE4      R 4TH CHILD ALIVE?
KDALIVE5      R 5TH CHILD ALIVE?
KDALIVE6      R 6TH CHILD ALIVE?
KDALIVE7      R 7TH CHILD ALIVE?
KDALIVE8      R 8TH CHILD ALIVE?
KDALIVE9      R 9TH CHILD ALIVE?
KDEDUC1       HIGHEST SCHL GRADE OF R 1ST CHILD
KDEDUC2       HIGHEST SCHL GRADE OF R 2ND CHILD
KDEDUC3       HIGHEST SCHL GRADE OF R 3RD CHILD
KDEDUC4       HIGHEST SCHL GRADE OF R 4TH CHILD
KDEDUC5       HIGHEST SCHL GRADE OF R 5TH CHILD
KDEDUC6       HIGHEST SCHL GRADE OF R 6TH CHILD
KDEDUC7       HIGHEST SCHL GRADE OF R 7TH CHILD
KDEDUC8       HIGHEST SCHL GRADE OF R 8TH CHILD
KDEDUC9       HIGHEST SCHL GRADE OF R 9TH CHILD
KDPICKED      NUMBER OF CHILD RANDOMLY CHOSEN
KDWORK1       DOES R CHILD DO PAID WORK?
KDWORK2       DOES R CHILD DO PAID OR UNPAID WORK?
KDEVWORK      DID R CHILD WORK FOR 1 OR MORE YR?
KDOCC80       R CHILD CENSUS OCCUPATION CODE (1980)
KDPRES80      R CHILD OCCUPATIONAL PRESTIGE SCORE (1980)
KDWRKSLF      R CHILD SELF-EMPLOYED?
KDIND80       R CHILD INDUSTRY CODE (1980)
KDOCC10       R CHILD CENSUS OCCUPATION CODE (2010)
KDOCCINDV     KID'S OCC/IND VERBATIM RETRIEVED
KDOCCSTATUS   KDOCC10 CODING STATUS
KDOCCTAG      KDOCC10 CODING TAG
KDIND10       R CHILD CENSUS INDUSTRY CODE (2010)
KDINDSTATUS   KDIND10 CODING STATUS
KDINDTAG      KDIND10 CODING TAG
KDPRES10      R CHILD OCCUPATIONAL PRESTIGE SCORE (2010)
KDPRES105PLUS R CHILD OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
SBSEX1        SEX OF R 1ST SIBLING
SBSEX2        SEX OF R 2ND SIBLING
SBSEX3        SEX OF R 3RD SIBLING
SBSEX4        SEX OF R 4TH SIBLING
SBSEX5        SEX OF R 5TH SIBLING
SBSEX6        SEX OF R 6TH SIBLING
SBSEX7        SEX OF R 7TH SIBLING
SBSEX8        SEX OF R 8TH SIBLING
SBSEX9        SEX OF R 9TH SIBLING
SBYRBRN1      BIRTH YEAR OF R 1ST SIBLING
SBYRBRN2      BIRTH YEAR OF R 2ND SIBLING
SBYRBRN3      BIRTH YEAR OF R 3RD SIBLING
SBYRBRN4      BIRTH YEAR OF R 4TH SIBLING
SBYRBRN5      BIRTH YEAR OF R 5TH SIBLING
SBYRBRN6      BIRTH YEAR OF R 6TH SIBLING
                                             Page 33                              Index
SBYRBRN7      BIRTH YEAR OF R 7TH SIBLING
SBYRBRN8      BIRTH YEAR OF R 8TH SIBLING
SBYRBRN9      BIRTH YEAR OF R 9TH SIBLING
SBREL1        R RELATION TO R 1ST SIBLING
SBREL2        R RELATION TO R 2ND SIBLING
SBREL3        R RELATION TO R 3RD SIBLING
SBREL4        R RELATION TO R 4TH SIBLING
SBREL5        R RELATION TO R 5TH SIBLING
SBREL6        R RELATION TO R 6TH SIBLING
SBREL7        R RELATION TO R 7TH SIBLING
SBREL8        R RELATION TO R 8TH SIBLING
SBREL9        R RELATION TO R 9TH SIBLING
SBALIVE1      R 1ST SIBLING ALIVE?
SBALIVE2      R 2ND SIBLING ALIVE?
SBALIVE3      R 3RD SIBLING ALIVE?
SBALIVE4      R 4TH SIBLING ALIVE?
SBALIVE5      R 5TH SIBLING ALIVE?
SBALIVE6      R 6TH SIBLING ALIVE?
SBALIVE7      R 7TH SIBLING ALIVE?
SBALIVE8      R 8TH SIBLING ALIVE?
SBALIVE9      R 9TH SIBLING ALIVE?
SBPICKED      NUMBER OF SIBLING RANDOMLY CHOSEN
SBEDUC        HIGHEST SCHL GRADE OF SELECTED R SIBLING
SBDEG         HIGHEST SCHL GRADE OF SELECTED R SIBLING
SBWORK1       DOES R SIBLING DO PAID WORK?
SBWORK2       DOES R SIBLING DO PAID OR UNPAID WORK?
SBEVWORK      DID R SIBLING WORK FOR 1 OR MORE YR?
SBOCC80       R SIBLING CENSUS OCCUPATION CODE (1980)
SBPRES80      R SIBLING OCCUPATIONAL PRESTIGE SCORE (1980)
SBWRKSLF      R SIBLING SELF-EMPLOYED?
SBIND80       R SIBLING INDUSTRY CODE (1980)
SBOCC10       R SIBLING CENSUS OCCUPATION CODE (2010)
SBOCCINDV     SIBLING'S OCC/IND VERBATIM RETRIEVED
SBOCCSTATUS   SBOCC10 CODING STATUS
SBOCCTAG      SBOCC10 CODING TAG
SBIND10       R SIBLING INDUSTRY CODE (2010)
SBINDSTATUS   SBIND10 CODING STATUS
SBINDTAG      SBIND10 CODING TAG
SBPRES10      R SIBLING OCCUPATIONAL PRESTIGE SCORE (2010)
SBPRES105PLUS R SIBLING OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
ETHID         R AMERICAN VS ETHNIC IDENTITY
AMISSUE       DEGREE R INVOKES JUST AMERICAN IDENTITY
ETHISSUE      DEGREE R INVOKES ETHNIC IDENTITY
ETHID1        R PRIMARY IDENTITY AS ETHNIC OR AMERICAN
AMISSUE1      DEGREE R INVOKES PRIMARY IDENTITY AS AMERICAN
ETHISSU1      DEGREE R INVOKES PRIMARY IDENTITY AS ETHNIC
AMRANK        AMERICAN QUALITY OF LIFE VS OTHER INDUS. NATIONS
AMPROUD       R PRIDE IN BEING AMERICAN
MELTPOT       R ATTITUDE TOWARD MIXING CULTURES IN US
GVTAPART      SHOULD GOVT POLICY MAINTAIN DISTINCT CULTURES
GVTMELT       SHOULD GOVT HELP BLEND CULTURES
ETHORGS       DO ETHNIC ORGS PROMOTE SEPARATISM
                                       Page 34              Index
ETHSPKOK ALLOW FREE SPEECH OFFENSIVE TO ETHNIC GROUPS
ETHSPKNO BAN OPINIONS HARMFUL TO OTHER GROUPS
SYMPTBLK R FEEL SYMPATHY TOWARDS BLACKS
ADMIRBLK R EXPRESS ADMIRATION FOR BLACKS
BILINGED SUPPORT OR OPPOSE BILINGUAL EDUCATION
ENGTEACH OPINION ON TEACHING CLASSES ONLY IN ENGLISH
ENGBALLT ATTITUDE TOWARD PRINTING BALLOTS ONLY IN ENGLISH
ENGOFFCL FAVOR LAW MAKING ENGLISH THE OFFICIAL LANGUAGE
LETIN    INCREASE OR DECREASE IMMIGRANTS TO US
HSPASN10 CHANGE IN ETHNIC STATUS IN LOCAL COMMUNITY
IMMECON  WILL IMMIGRANTS LEAD TO ECONOMIC GROWTH
IMMUNEMP WILL IMMIGRANTS FUEL UNEMPLOYMENT
IMMUNITE WILL IMMIGRANTS AFFECT NATIONAL UNITY
IMMFARE  IMMIGRANTS ELIGIBLE FOR GOVT ASSISTANCE?
UNDOCWRK SHOULD ILLEGAL IMMIGRANTS GET WORK PERMITS?
UNDOCCOL ILLEGAL IMMIGRANTS ACCESS TO PUBLIC UNIVER'SITIES?
UNDOCKID US CITIZENSHIP FOR CHILDREN OF ILLEGAL IMMIGRANTS
IMMPUSH  ARE IMMIGRANTS DEMANDING TOO MANY RIGHTS?
IMMWRKUP SHOULD IMMIGRANTS OVERCOME BIAS WITHOUT HELP
COLAFF   CHANCE BLACKS GET TO COLLEGE AHEAD OF WHITES
COLAFFY  CHANCE WHITES EXCLUDED FROM COLLEGE OVER BLACKS
DISCAFFY CHANCE BLACKS PROMOTED AHEAD OF WHITES
JOBAFF   FAVOR PREFERENCES IN HIRING BLACKS
OWNETH   DO ETHIC POLITICIANS SERVE ETHNIC GROUPS BETTER
CONGETH  SHOULD ETHNIC CONGRESSMEN REPRESENT ETHNIC GROUPS
TEACHETH ETHNICITY OF COLLEGE FACULTY REFLECT STUDENTS
SCHLETH  ETHNICITY OR PROFESSIONAL SCHOOLS MIRROR STUDENTS
ETHHIST  MINORITY HISTORY ADEQUATELY TAUGHT IN SCHOOL
WHOTEACH SHOULD ONLY MINORITIES TEACH MINORITY HISTORY
WHTGOVT  DO WHITES GET PROPER GOVT ATTENTION
BLKGOVT  DO BLACKS GET PROPER GOVT ATTENTION
HSPGOVT  DO HISPANIC-AMERICANS GET PROPER GOVT ATTENTION
ASNGOVT  DO ASIAN-AMERICANS GET PROPER GOVT ATTENTION
WLTHIMM  ARE LEGAL IMMIGRANTS RICH OR POOR
WLTHUNDC ARE ILLEGAL IMMIGRANTS RICH OR POOR
WORKIMM  ARE LEGAL IMMIGRANTS HARD WORKING
WORKUNDC ARE ILLEGAL IMMIGRANTS HARD WORKING
OBRESPCT TEACH CHILDREN RESPECT FOR AUTHORITY AND OBEDIENCE
ECONPAST HAS NATIONAL ECONOMY IMPROVED LAST YEAR
PASTUP   DEGREE OF IMPROVEMENT IN NATIONAL ECONOMY
PASTDOWN DEGREE NATIONAL ECONOMY HAS GOTTEN WORSE
ECONFUTR PREDICTIONS FOR NATIONAL ECONOMY IN NEXT YEAR
FUTRUP   DEGREE ECONOMY WILL IMPROVE IN NEXT YEAR
FUTRDOWN DEGREE ECONOMY WILL GET WORSE OVER NEXT YEAR
RDISCAFF CHANCES FAMILY MEMBER NOT PROMOTED FOR OTHER RACE
RIMMDISC CHANCES ILLEGAL IMMIGRANTS FAVORED OVER FAMILY
ROMANCE  DO YOU HAVE A MAIN ROMANTIC INVOLVEMENT
LIVEWITH DO YOU LIVE TOGETHER?
HAPROM   DESCRIBE YOUR ROMANTIC RELATIONSHIP?
WILLWED1 HOW LIKELY YOU TWO WILL GET MARRIED?
WILLWED2 IF RIGHT PERSON WOULD YOU MARRY?
HAPGIRLS GIRLS' CHANCES FOR A HAPPY FAMILY LIFE
                                        Page 35          Index
HAPBOYS  BOYS' CHANCES FOR A HAPPY FAMILY LIFE
FEJOBAFF FOR OR AGAINST PREFERENTIAL HIRING OF WOMEN
TRADMOD  MAN ALONE-BOTH RESPONSIBLE FOR PROVIDING INCOME
SHARESEP MAN AND WOMAN DO THINGS TOGETHER-SEPARATE
EMOTEOTH MAN AND WOMAN EMOTIONALLY DEPENDENT-INDEPENDENT
RHMEWRK  HOW MUCH HOUSEWORK R DOES
SPHMEWRK HOW MUCH HOUSEWORK R'S SPOUSE DOES
FAIRHWRK DIVISION OF WORK UNFAIR TO YOU OR SPOUSE
EARNMORE WHO EARNS MORE MONEY?
FAMLIFE  HOW SUCCESSFUL IN FAMILY LIFE
WORKLIFE HOW SUCCESSFUL IN WORK LIFE
BALWKFAM HOW SUCCESSFUL BALANCING WORK & FAMILY
REFPROMO REFUSE A JOB PROMOTION?
REFMORWK TAKE ON ADDITIONAL PAID WORK?
REFXHOUR REFUSE TO WORK OVERTIME OR EXTRA HOURS?
WORKLESS CUT BACK ON YOUR WORK?
NOATHOME MISS A FAMILY OCCASION OR HOLIDAY?
NONURSE  UNABLE TO CARE FOR A SICK CHILD-RELATIVE?
NOHMEWRK UNABLE TO DO THE WORK AROUND THE HOUSE?
DISCAFFM A MAN WON'T GET A JOB OR PROMOTION
DISCAFFW A WOMAN WON'T GET A JOB OR PROMOTION
FLEXTIME ALLOW WORKERS MORE FLEXIBLE HOURS
PARLEAVE OFFER PAID TIME OFF TO NEW PARENTS.
MENBEN   MEN BENEFIT FROM TRADITIONAL FAMILY
WOMENBEN WOMEN BENEFIT FROM TRADITIONAL FAMILY
CHLDBEN  CHILDREN BENEFIT FROM TRADITIONAL FAMILY
ALLBEN   EVERYONE BENEFIT FROM TRADITIONAL FAMILY
NOONEBEN NO ONE BENEFIT FROM TRADITIONAL FAMILY
MENHRT   MEN HURT FROM TRADITIONAL FAMILY
WOMENHRT WOMEN HURT FROM TRADITIONAL FAMILY
CHLDHRT  CHILDREN HURT FROM TRADITIONAL FAMILY
ALLHRT   EVERYONE HURT FROM TRADITIONAL FAMILY
NOONEHRT NO ONE HURT FROM TRADITIONAL FAMILY
FELESS1  HOW IMPORTANT MEN WORK HARDER EXPLAIN
FELESS2  HOW IMPORTANT WOMEN'S FAMILY RESPONSIBILITIES
FELESS3  HOW IMPORTANT GIVE MEN BETTER PAYING JOBS
FEKIDS1  HOW IMPORTANT WOMEN BIOLOGICALLY BETTER-SUITED
FEKIDS2  HOW IMPORTANT WOMEN ARE TAUGHT FROM CHILDHOOD
FEKIDS3  HOW IMPORTANT THE WAY SOCIETY IS SET UP
FEKIDS4  HOW IMPORTANT MEN HAVE MORE FREEDOM
FEKIDS5  HOW IMPORTANT IT IS GOD'S WILL
MEBEAR   CAN HUSBAND REFUSE TO SIRE CHILDREN
FEHIRE   SHOULD HIRE AND PROMOTE WOMEN
FEMINIST THINK YOURSELF AS A FEMINIST?
FENEWS   HOW OFTEN PAY ATTENTION TO WOMEN ISSUES
HMEMAKER FULL-TIME HOMEMAKERS LIVES IMPROVED
WRKCLASS WORKING-CLASS WOMEN'S LIVES IMPROVED
MANPROF  PROFESSIONAL WOMEN'S LIVES IMPROVED
MEN      MEN'S LIVES IMPROVED
CHILDREN CHILDREN'S LIVES IMPROVED
YOURSELF R'S LIFE IMPROVED
SHAKEBLU FELT THAT COULDN'T SHAKE THE BLUES?
                                        Page 36      Index
CALM     FELT CALM?
OUTRAGED FELT OUTRAGED AT SOMETHING SOMEBODY
HAPFEEL  FELT HAPPY?
SAD      FELT SAD?
ASHAMED  FELT ASHAMED OF SOMETHING YOU'D DONE?
EXCITED  FELT EXCITED OR INTERESTED IN SOMETHING?
LONELY   FELT LONELY?
FEARFUL  FELT FEARFUL ABOUT SOMETHING
OVRJOYED FELT OVERJOYED ABOUT SOMETHING?
WORRIED  FELT WORRIED?
CONTENTD FELT CONTENTED?
ANXIOUS  FELT ANXIOUS AND TENSE?
RESTLESS FELT RESTLESS?
MADAT    FELT MAD AT SOMETHING OR SOMEONE?
ATEASE   FELT AT EASE?
ANGRY    FELT ANGRY AT SOMEONE?
EMBARRSS FELT EMBARRASSED ABOUT SOMETHING?
PROUD    FELT PROUD OF SOMETHING YOU'D DONE?
NOPLAN   THERE'S NO SENSE PLANNING A LOT
BADBRKS  MOST OF MY PROBLEMS ARE DUE TO BAD BREAKS.
MOSTLUCK GOOD THINGS ARE MOSTLY LUCK.
LITCNTRL I HAVE LITTLE CONTROL OVER THE BAD THINGS
SHOWANGR WHEN I'M ANGRY I LET PEOPLE KNOW.
SHOWFEEL I'M NOT AFRAID TO SHOW MY FEELINGS.
NOEMOTE  I KEEP MY EMOTIONS TO MYSELF.
NOTUPSET DON'T TELL FRIENDS SOMETHING UPSETTING
BEPLESNT I TRY TO BE PLEASANT SO NOT TO UPSET OTH.
NOTWORRY WHEN ANXIOUS, TRY NOT TO WORRY ANYONE ELSE.
ANGRYWRK LAST TIME R FELT REALLY ANGRY
ANGRYFAM LAST TIME R FELT REALLY ANGRY
ANGRYGVT LAST TIME R FELT REALLY ANGRY
ANGRYWHY LAST TIME R FELT REALLY ANGRY
ANGRYEV  WAS AN EVENT RECALLED?
WHNANGRY HOW LONG AGO DID THIS EVENT HAPPEN?
MADAT1   ANGRY AT MY HUSBAND-WIFE ETC
MADAT2   ANGRY AT SON
MADAT3   ANGRY AT DAUGHTER
MADAT4   ANGRY AT MOTHER
MADAT5   ANGRY AT FATHER
MADAT6   ANGRY AT SISTER
MADAT7   ANGRY AT BROTHER
MADAT8   ANGRY AT ANOTHER FAMILY MEMBER
MADAT9   ANGRY AT A FRIEND
MADAT10  ANGRY AT AN ACQUAINTANCE
MADAT11  ANGRY AT A NEIGHBOR
MADAT12  ANGRY AT MY BOSS
MADAT13  ANGRY AT A CO-WORKER
MADAT14  ANGRY AT SUBORDINATE
MADAT15  ANGRY AT A CUSTOMER OR CLIENT
MADAT16  ANGRY AT SOMEONE ELSE AT WORK
MADAT17  ANGRY AT GOVERNMENT EMPLOYEE
MADAT18  ANGRY AT SOMEONE TO PROVIDE A SERVICE
                                       Page 37          Index
MADAT19  ANGRY AT PUBLIC FIGURE
MADAT20  ANGRY AT STRANGER (INCLUDE CROWDS)
MADAT21  ANGRY AT SELF
MADAT22  ANGRY AT AN OBJECT, CIRCUMSTANCES, ETC
MADAT23  ANGRY AT OTHER
HOWANGRY HOW INTENSE WOULD YOU SAY YOUR ANGER WAS
ANGRLAST HOW LONG DID YOUR ANGER LAST?
THNKANGR HOW OFTEN THOUGHT ABOUT THIS SITUATION
CHNANG1  THINK ABOUT THE SITUATION
CHNANG2  HAD A DRINK OR TOOK A PILL
CHNANG3  TALKED TO THE PERSON I WAS ANGRY AT
CHNANG4  TALKED TO SOMEONE ELSE
CHNANG5  TRIED TO FORGET IT
CHNANG6  TRIED TO CHANGE THE SITUATION
CHNANG7  PRAYED FOR HELP FROM GOD
CHNANG8  FANTASIZED ABOUT A MAGICAL SOLUTION
CHNANG9  WENT OUT TO GET SOME EXERCISE
CHNANG10 YELLED OR HIT SOMETHING
CHNANG11 WAITED FOR FEELINGS TO PASS
CHNANG12 TRIED TO ACCEPT THE SITUATION
CHNANG13 LEFT THE SITUATION
CHNANG14 THOUGHT ABOUT HOW TO GET REVENGE
CHNANG15 PLANNED HOW TO END THE RELATIONSHIP
CHNANG16 OTHER (SPECIFY)
REACTOK  DID R FEEL REACTION WAS APPROPRIATE
OTHRESP  HOW RESP. PERSON WHO YOU WERE ANGRY AT?
SELFRESP HOW RESP. DO YOU FEEL FOR THE SITUATION?
LIKEOTH  HOW MUCH DO YOU LIKE OR DISLIKE THE PERSON
AMIMP    HOW IMPORTANT IS BEING AN AMERICAN TO YOU
NOTAM    IF NOT AMERICAN, HOW MUCH CHANGE
USWORRY  HOW OFTEN DO YOU FEEL WORRIED FOR US?
USSAT    THINKING US HOW OFTEN FEEL SATISFIED
USFRUSTR THINKING US HOW OFTEN FEEL FRUSTRATED?
USENTHUS THINKING US HOW OFTEN FEEL ENTHUSIASTIC?
USANGRY  THINKING US HOW OFTEN FEEL ANGRY
USHOPEFL THINKING US HOW OFTEN FEEL HOPEFUL?
USUPSET  THINKING US HOW OFTEN FEEL UPSET?
CARPRIVT HAVE YOU PURCHASED A USED CAR PAST 5 YRS?
RELPRIVT RELATIONSHIP TO THE SELLER OF THE VEHICLE
WARRNTYC DID THE SELLER PROVIDE A WARRANTY?
CARDEALR PURCHASED A CAR FROM A DEALERSHIP PAST 5 YRS?
NEWUSED  WAS THE CAR NEW OR USED?
TYPDEALR RWAS THE AGENCY A NEW OR USED CAR DEALER'SHIP?
CARBUYA  R'S OWN PREVIOUS KNOWLEDGE MADE R BUY
CARBUYB  A FRIEND OR RELATIVE RECOMMENDED R BUY
CARBUYC  AN ACQUAINTANCE RECOMMENDED R BUY
CARBUYD  GENERAL REPUTATION MADE R BUY
CARBUYE  R SAW THEIR ADVERTISEMENT
CARBUYF  R SEARCHED FOR THE BEST PRICE
CARBUYG  CONVENIENCE MADE R BUY
CARBUY1  WHAT WAS THE MOST IMPORTANT REASON?
RELDEALR R RELATIONSHIP TO THE SALESPERSON
                                        Page 38         Index
SATCAR   HOW SATISFIED ARE YOU WITH YOUR PURCHASE?
EVBUYHME HAVE YOU EVER PURCHASED A HOME
HOMEYEAR RMOST RECENT HOME YOU HAVE PURCHASED.
LEARNHME HOW LEARNED THE AVAILABILITY OF THE HOME
NEWOWNED WAS THE HOME NEW OR PREVIOUSLY OWNED?
RELHOME  RELATIONSHIP TO THE PREVIOUS OWNER OF THE HOME
WHOSOLD  DESCRIBE YOUR PURCHASE
REALTORA R'S OWN PREVIOUS KNOWLEDGE MADE R CHOOSE
REALTORB A FRIEND-RELATIVE RECOMMENDED R CHOOSE
REALTORC AN ACQUAINTANCE RECOMMENDED R CHOOSE
REALTORD GENERAL REPUTATION MADE R CHOOSE
REALTORE I SAW THEIR ADVERTISEMENT MADE R CHOOSE
REALTORF CONVENIENCE MADE R CHOOSE THE REALTOR
REALTOR1 WHAT WAS THE MOST IMPORTANT REASON?
RELAGENT YOUR RELATIONSHIP TO THE REAL ESTATE AGENT
WARRNTYH DID THE SELLER PROVIDE ANY WARRANTY
